,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
1497,female,no,yes,yes,51,yes,no,fiber optic,yes,yes,no,no,no,no,month-to-month,yes,bank transfer (automatic),79.15,4018.55,no
5533,female,yes,no,no,21,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),95.4,2025.1,no
6192,female,yes,no,no,18,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,74.7,1294.6,no
4081,female,no,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.6,69.6,yes
4888,male,no,no,no,44,yes,no,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,electronic check,106.05,4510.8,no
470,female,yes,no,no,17,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.65,330.6,no
5322,female,no,yes,no,26,yes,no,dsl,no,yes,yes,yes,yes,yes,month-to-month,no,bank transfer (automatic),81.9,2078.55,no
1130,male,no,yes,yes,26,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),19.15,515.75,no
6410,female,yes,no,no,63,yes,yes,dsl,yes,yes,yes,yes,yes,no,one year,no,bank transfer (automatic),83.0,5243.05,no
1521,male,no,no,no,37,yes,yes,dsl,yes,yes,yes,yes,no,no,one year,no,electronic check,67.45,2443.3,no
1514,female,no,no,yes,63,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.5,1215.1,no
3481,female,no,no,no,4,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,50.7,214.55,no
1770,female,yes,no,no,41,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,yes,electronic check,113.2,4689.5,yes
1648,male,yes,yes,yes,60,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,yes,electronic check,80.95,4859.1,no
5417,male,no,yes,yes,14,yes,no,dsl,yes,yes,no,no,no,yes,two year,yes,bank transfer (automatic),61.4,815.55,no
6717,male,yes,yes,no,57,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,no,electronic check,100.6,5746.15,yes
2324,female,yes,yes,no,15,yes,yes,fiber optic,no,no,yes,yes,no,no,month-to-month,yes,electronic check,83.05,1258.3,yes
6603,male,no,yes,no,14,yes,yes,dsl,no,no,no,yes,yes,no,month-to-month,yes,credit card (automatic),66.6,979.5,no
6391,male,no,yes,yes,38,yes,yes,dsl,no,yes,yes,no,yes,yes,one year,no,credit card (automatic),78.95,2862.55,no
271,male,no,yes,no,57,yes,no,dsl,yes,yes,no,yes,no,no,two year,yes,electronic check,59.75,3450.15,no
1923,male,no,yes,yes,37,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.8,726.1,no
3360,male,no,no,no,13,yes,no,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,electronic check,83.2,1060.6,yes
4124,female,yes,yes,no,19,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,94.95,1760.25,no
2123,male,no,no,no,31,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,80.45,2429.1,no
5170,female,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.65,19.65,no
1528,female,no,no,no,19,yes,no,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic check,56.2,1093.4,no
1481,male,no,yes,yes,72,no,no phone service,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),65.1,4754.3,no
3555,male,no,no,no,20,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,85.25,1734.5,yes
3797,male,no,yes,no,43,yes,yes,dsl,yes,no,yes,no,yes,yes,one year,yes,electronic check,80.2,3581.6,no
279,female,no,no,no,5,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,bank transfer (automatic),50.55,244.75,no
5601,female,no,yes,yes,35,no,no phone service,dsl,no,no,no,yes,yes,no,one year,no,mailed check,40.9,1383.6,no
1790,female,no,no,no,12,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,no,bank transfer (automatic),78.1,947.3,yes
2265,male,no,no,no,12,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,mailed check,112.95,1384.75,yes
86,female,no,yes,no,35,yes,no,dsl,yes,no,no,no,yes,no,one year,yes,bank transfer (automatic),62.15,2215.45,no
4223,male,no,no,no,3,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,70.3,220.4,no
1839,female,no,no,no,4,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),25.3,116.95,no
3634,male,yes,no,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),113.8,7845.8,no
3776,male,no,yes,no,43,yes,no,dsl,no,no,no,no,yes,no,one year,yes,mailed check,56.35,2391.15,no
0,female,no,yes,no,1,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic check,29.85,29.85,no
6748,female,yes,no,no,1,yes,no,fiber optic,no,no,yes,no,no,yes,month-to-month,yes,electronic check,85.0,85.0,yes
3361,female,yes,no,no,64,yes,yes,dsl,no,yes,yes,yes,no,yes,month-to-month,no,credit card (automatic),74.65,4869.35,no
2230,male,no,yes,yes,45,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.35,929.2,no
5510,male,no,no,no,18,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,no,credit card (automatic),101.3,1794.65,no
5878,male,no,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,21.2,52.05,no
4275,female,no,no,no,1,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,25.75,25.75,no
6683,male,no,no,no,43,no,no phone service,dsl,no,no,yes,yes,no,yes,one year,no,electronic check,44.15,1931.3,no
3754,male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.05,20.05,no
2192,male,yes,yes,no,56,yes,no,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),85.65,4824.45,no
1859,male,no,no,no,52,yes,no,fiber optic,no,yes,no,no,no,yes,month-to-month,yes,electronic check,85.35,4338.6,yes
2557,male,no,no,no,3,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,45.45,141.7,no
4772,female,no,yes,yes,69,yes,no,dsl,no,yes,yes,yes,no,no,one year,no,bank transfer (automatic),59.1,4134.7,no
1289,male,no,no,no,63,yes,yes,dsl,yes,yes,yes,yes,no,no,one year,no,bank transfer (automatic),68.8,4111.35,no
5034,female,yes,yes,yes,48,no,no phone service,dsl,no,yes,no,no,no,no,one year,no,bank transfer (automatic),29.9,1388.75,no
4170,male,no,yes,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),115.15,8349.45,no
5583,female,yes,yes,no,26,yes,no,fiber optic,no,yes,no,no,no,yes,month-to-month,no,electronic check,84.95,2169.75,yes
6600,female,no,yes,yes,3,no,no phone service,dsl,yes,no,no,no,no,no,month-to-month,no,credit card (automatic),29.7,91.7,yes
4885,male,yes,yes,no,72,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),111.65,8022.85,no
209,male,no,yes,no,64,yes,no,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,credit card (automatic),102.45,6654.1,no
3406,female,no,no,no,31,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.95,683.25,no
7000,female,no,no,no,67,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,20.55,1343.4,no
1197,male,no,yes,no,15,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card (automatic),19.45,340.85,no
5252,male,yes,yes,no,71,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,yes,electronic check,107.5,7713.55,no
21,male,no,yes,no,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),19.8,202.25,no
3607,female,no,no,no,13,yes,no,dsl,yes,no,no,yes,no,no,one year,no,mailed check,55.15,742.9,no
6139,male,no,no,yes,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),20.2,50.6,no
5220,female,no,no,no,29,yes,no,dsl,yes,no,yes,yes,no,no,one year,no,credit card (automatic),58.0,1734.5,no
2159,female,no,no,no,15,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),25.05,369.1,no
4021,female,no,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,20.5,20.5,yes
6060,female,yes,no,no,8,yes,no,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,electronic check,87.1,713.6,no
6103,male,no,no,no,16,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit card (automatic),19.75,294.9,no
3264,female,no,no,yes,10,yes,no,fiber optic,no,no,yes,yes,yes,no,month-to-month,yes,electronic check,91.1,964.35,no
3919,female,no,no,no,6,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),93.55,536.4,yes
2495,female,no,yes,no,38,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card (automatic),20.25,814.75,no
937,female,no,no,no,6,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,yes,electronic check,79.05,434.5,yes
333,female,no,no,no,7,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,73.85,511.25,yes
6434,male,no,no,no,1,yes,no,dsl,no,no,yes,no,no,no,month-to-month,yes,electronic check,50.5,50.5,yes
6372,male,no,yes,yes,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.5,96.85,no
6544,female,yes,no,no,42,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),104.75,4323.45,yes
4296,female,no,yes,yes,35,yes,yes,dsl,yes,no,yes,yes,yes,no,month-to-month,no,electronic check,72.25,2568.55,yes
1974,male,no,yes,no,11,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.95,825.7,yes
5666,male,no,yes,no,35,no,no phone service,dsl,yes,no,yes,no,yes,yes,one year,no,credit card (automatic),53.15,1930.9,no
494,male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.4,20.4,no
6652,male,no,no,no,36,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),18.55,689.0,no
1390,female,no,yes,yes,72,yes,no,dsl,yes,yes,yes,no,no,yes,two year,no,credit card (automatic),68.75,4888.2,no
2344,female,yes,no,no,14,no,no phone service,dsl,yes,no,yes,yes,no,no,two year,no,mailed check,39.7,692.35,no
2046,female,no,no,yes,1,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,24.7,24.7,no
5640,male,no,no,no,1,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,no,electronic check,79.6,79.6,yes
3417,female,no,yes,yes,8,yes,no,dsl,no,yes,no,yes,no,no,month-to-month,no,bank transfer (automatic),56.3,401.5,no
5850,male,yes,no,no,20,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,credit card (automatic),71.3,1389.2,yes
2223,female,no,no,no,28,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,yes,electronic check,89.95,2625.55,yes
4245,male,no,yes,yes,63,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.7,1275.85,no
3187,male,no,yes,yes,34,yes,no,fiber optic,no,yes,yes,no,yes,no,month-to-month,yes,electronic check,89.85,3091.75,no
4872,female,no,yes,no,72,yes,yes,dsl,yes,no,yes,yes,yes,yes,two year,yes,bank transfer (automatic),84.9,6065.3,no
6958,female,no,yes,yes,13,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),19.75,246.7,no
3178,male,no,yes,no,52,yes,no,fiber optic,yes,no,no,no,yes,no,month-to-month,no,electronic check,84.1,4348.65,yes
6651,female,no,no,no,29,yes,yes,dsl,yes,yes,no,yes,no,no,month-to-month,no,mailed check,67.45,1801.1,no
6837,male,yes,no,no,6,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,79.7,497.6,no
5294,female,no,yes,yes,53,yes,yes,fiber optic,yes,yes,yes,yes,no,yes,two year,yes,bank transfer (automatic),104.05,5566.4,no
2628,female,no,no,no,1,yes,no,fiber optic,yes,yes,no,yes,no,no,month-to-month,yes,mailed check,83.4,83.4,no
5130,male,no,no,no,8,no,no phone service,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,30.45,226.45,yes
4303,female,no,yes,no,45,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,25.5,1121.05,no
4574,female,yes,yes,no,72,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,credit card (automatic),105.75,7629.85,no
1187,female,yes,no,no,71,yes,yes,fiber optic,no,no,yes,no,yes,yes,two year,no,bank transfer (automatic),104.05,7413.55,no
3627,female,no,no,no,16,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.1,296.15,no
2184,female,yes,no,no,2,yes,yes,fiber optic,no,no,yes,no,no,yes,month-to-month,yes,electronic check,88.55,179.25,yes
999,male,no,no,no,2,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,no,electronic check,70.3,132.4,no
3315,male,yes,yes,no,66,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),107.35,7051.95,no
4737,female,no,yes,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),115.5,8312.75,no
517,female,yes,yes,no,5,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,70.05,302.6,no
1720,female,yes,no,no,2,yes,no,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,bank transfer (automatic),83.8,163.7,no
1189,male,no,no,no,3,yes,no,fiber optic,no,no,yes,no,no,yes,month-to-month,no,credit card (automatic),85.7,256.75,no
1719,male,no,no,no,3,yes,no,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,107.95,318.6,no
5891,male,no,no,no,11,no,no phone service,dsl,no,no,yes,no,yes,no,one year,yes,electronic check,41.6,470.6,yes
2907,male,no,yes,no,20,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,mailed check,89.0,1820.45,yes
2919,male,no,yes,no,49,no,no phone service,dsl,no,yes,no,no,yes,yes,two year,no,credit card (automatic),49.65,2409.9,no
53,female,yes,yes,no,8,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,credit card (automatic),80.65,633.3,yes
3193,female,no,yes,yes,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.1,52.0,no
4757,male,no,no,no,1,yes,yes,dsl,no,yes,no,yes,no,no,month-to-month,no,mailed check,60.1,60.1,yes
4151,female,yes,no,no,57,no,no phone service,dsl,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,55.0,3094.05,no
1499,male,yes,yes,no,64,yes,yes,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,94.25,6081.4,no
204,male,no,no,no,44,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,credit card (automatic),68.85,2958.95,no
1211,female,no,yes,yes,11,yes,yes,dsl,no,no,no,yes,no,yes,month-to-month,yes,electronic check,66.35,740.8,yes
6940,female,no,yes,yes,72,no,no phone service,dsl,yes,yes,yes,yes,no,yes,two year,no,credit card (automatic),55.65,3880.05,no
6546,male,no,no,no,24,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,51.15,1275.7,no
255,female,no,yes,yes,67,no,no phone service,dsl,no,yes,yes,yes,yes,yes,two year,yes,electronic check,59.55,4103.9,no
744,female,no,no,no,5,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),44.05,202.15,no
4789,female,no,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,71.1,71.1,yes
4315,female,no,no,no,1,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,no,electronic check,79.55,79.55,yes
2240,female,yes,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),89.55,6448.85,no
2833,female,no,no,no,66,yes,no,dsl,yes,yes,yes,no,no,no,two year,yes,bank transfer (automatic),61.15,4017.45,no
6120,male,no,no,no,6,yes,no,dsl,no,yes,no,no,yes,no,month-to-month,no,electronic check,59.45,357.6,no
2191,female,yes,no,no,1,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,91.3,91.3,yes
3179,female,no,no,no,27,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.6,561.15,no
4946,male,no,no,no,4,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,81.0,340.85,yes
243,female,yes,yes,no,65,yes,no,fiber optic,yes,yes,yes,no,no,yes,month-to-month,no,electronic check,94.4,6126.15,no
2558,female,no,no,no,38,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.05,678.2,no
4665,female,no,yes,yes,67,no,no phone service,dsl,yes,yes,no,no,no,no,two year,no,bank transfer (automatic),36.15,2434.45,no
5865,female,no,yes,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.85,72.0,no
6036,female,no,yes,no,53,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,electronic check,110.5,5835.5,no
3717,male,no,no,no,29,yes,no,dsl,no,no,yes,no,no,no,month-to-month,no,bank transfer (automatic),48.95,1323.7,no
6231,female,yes,yes,no,1,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,mailed check,76.4,76.4,yes
1033,female,no,yes,no,62,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),23.65,1416.75,no
5711,female,yes,yes,no,20,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,no,electronic check,90.8,1951.0,yes
6874,female,no,yes,no,31,yes,no,dsl,no,no,no,yes,no,no,month-to-month,yes,mailed check,49.2,1498.55,no
2356,male,no,no,no,46,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),45.2,2065.15,no
1756,female,yes,no,no,44,yes,no,dsl,no,no,yes,yes,yes,yes,one year,no,bank transfer (automatic),74.85,3268.05,no
5996,male,no,no,no,62,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.85,1253.65,no
274,male,no,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,70.6,70.6,yes
5723,male,no,no,no,58,yes,yes,fiber optic,no,no,no,yes,no,no,month-to-month,no,bank transfer (automatic),80.65,4807.35,no
732,male,no,yes,yes,25,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,75.5,1901.05,no
991,female,no,no,no,58,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),24.35,1423.85,no
6740,female,yes,no,no,40,yes,no,fiber optic,yes,yes,no,no,no,no,month-to-month,yes,credit card (automatic),79.2,3233.85,yes
67,female,no,no,no,31,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,no,mailed check,79.2,2497.2,no
4210,female,yes,yes,yes,61,yes,yes,dsl,no,no,yes,no,yes,no,one year,yes,electronic check,65.2,3965.05,no
6057,male,no,no,no,19,yes,no,dsl,no,no,no,yes,yes,no,month-to-month,yes,credit card (automatic),61.55,1093.2,no
1522,female,no,no,no,29,yes,no,dsl,yes,yes,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),68.85,1970.5,yes
1883,female,yes,yes,no,35,yes,yes,fiber optic,yes,yes,no,yes,yes,no,month-to-month,yes,bank transfer (automatic),100.5,3653.35,yes
7020,male,no,yes,yes,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,19.2,239.0,no
1709,male,yes,no,no,30,yes,yes,dsl,no,no,yes,yes,yes,no,two year,yes,credit card (automatic),69.1,2093.9,no
2143,male,yes,yes,no,30,yes,yes,dsl,no,no,yes,no,yes,yes,two year,no,electronic check,74.85,2181.75,no
6411,male,yes,yes,no,2,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,70.1,141.65,no
5186,female,yes,no,no,1,no,no phone service,dsl,no,no,no,no,yes,no,month-to-month,yes,electronic check,36.45,36.45,yes
1183,female,no,yes,no,53,yes,no,fiber optic,no,no,no,yes,yes,yes,one year,yes,electronic check,93.45,4872.2,no
1896,male,no,no,no,38,yes,yes,dsl,yes,yes,yes,yes,no,no,month-to-month,no,electronic check,69.95,2657.55,no
1978,female,no,no,no,57,yes,no,dsl,no,yes,yes,yes,yes,no,two year,no,mailed check,69.75,3894.4,no
5504,male,yes,yes,no,44,yes,yes,fiber optic,no,yes,no,no,no,yes,one year,no,mailed check,88.4,3912.9,yes
5,female,no,no,no,8,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,99.65,820.5,yes
2283,male,no,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,71.55,71.55,yes
685,female,no,no,no,1,yes,no,dsl,no,no,no,yes,no,no,month-to-month,yes,electronic check,49.9,49.9,no
3166,male,no,yes,no,14,yes,no,dsl,no,no,no,yes,no,no,month-to-month,no,bank transfer (automatic),48.8,664.4,no
6498,female,no,no,no,1,yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,electronic check,82.3,82.3,yes
1797,female,no,no,no,30,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.4,578.5,no
4131,female,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,20.25,20.25,yes
324,male,no,no,no,69,no,no phone service,dsl,yes,yes,no,yes,yes,yes,two year,yes,bank transfer (automatic),60.05,4176.7,no
1486,female,no,no,no,2,yes,no,dsl,no,yes,no,yes,no,no,month-to-month,yes,credit card (automatic),55.05,102.75,yes
3702,female,yes,no,no,20,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,yes,electronic check,79.15,1520.9,yes
5625,female,no,no,yes,22,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,20.55,469.85,no
3698,female,no,no,no,59,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,electronic check,83.25,4949.1,no
